,NaturalizedCountry2011,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
104,Kuwait,869,3,0,18,2,130,10,11,2,2,64,23,0,2,2,61,10,0,11,4,11,0,18,19,44,7,2,11,0,4,2,0,42,2,52,28,2,51,6,2,9,0,6,4,2,28,97,0,2,5,2,21,14,2,13,0,16
105,Kyrgyzstan,440,2,3,10,0,64,6,2,0,0,20,2,0,2,2,11,8,0,2,2,2,0,12,19,5,12,2,4,0,2,2,4,12,2,65,7,2,11,2,17,16,0,0,4,0,2,16,5,0,2,0,19,56,0,2,0,6
106,Laos,5452,22,59,13,40,2773,39,18,0,0,51,67,0,9,7,25,4,32,54,3,7,2,6,36,46,955,3,15,2,3,15,4,4,2,39,108,2,27,25,30,29,0,26,15,3,49,102,4,0,27,0,20,106,2,491,0,35
107,Latvia,401,2,2,6,0,59,5,7,3,0,28,11,0,2,0,37,0,4,2,2,2,0,13,14,3,8,3,7,0,2,4,2,20,0,67,12,0,10,2,2,11,0,2,3,0,4,9,0,0,0,0,7,12,2,14,0,6
108,Lebanon,3127,20,0,41,3,585,14,29,8,0,243,59,0,5,0,68,12,2,17,14,12,7,23,291,537,17,2,16,2,4,36,18,95,2,182,39,0,128,21,15,55,5,25,20,3,22,251,0,0,4,2,92,24,4,11,0,45
109,Lesotho,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,1
110,Liberia,3794,12,0,73,2,110,27,28,39,2,57,145,0,3,0,63,38,37,11,28,8,0,259,163,53,533,3,45,2,8,15,19,266,0,251,145,16,97,19,16,585,0,162,14,23,33,181,9,2,25,0,70,31,3,20,0,45
111,Libya,180,4,0,2,0,22,3,2,0,0,15,7,0,0,0,5,2,0,4,2,2,0,5,2,7,2,0,3,0,3,5,0,8,0,14,2,2,7,0,5,6,0,2,2,2,2,15,0,0,0,2,9,8,0,2,0,5
112,Liechtenstein,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
113,Lithuania,973,0,0,3,0,79,14,10,2,0,90,17,0,2,0,401,5,2,2,0,2,0,11,33,13,10,2,2,2,2,11,3,58,3,75,7,0,15,2,3,26,2,2,6,0,6,16,2,0,3,0,8,13,0,7,2,5
114,Luxembourg,18,0,0,2,2,3,0,2,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1
115,Macau,86,0,0,3,0,51,0,2,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,6,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0
116,Macedonia,578,2,18,9,2,16,4,35,0,0,34,3,0,0,2,65,33,0,2,3,2,2,2,5,45,0,0,4,0,0,8,2,99,2,98,4,0,27,0,2,6,0,0,0,0,3,12,0,0,2,2,6,2,2,16,0,7
